measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1408280841_ims.csv	p1	0.4791	0	50.877	839	0
BD18_1408280841_ims.csv	p3	0.50271	0	19.6929	880	0
BD18_1408280841_ims.csv	p5	1.12816	99.513	19.9904	1966	200
BD18_1408280841_ims.csv	p7	0.81774	30.373	18.5614	1427	61
BD18_1408280841_ims.csv	p9	1.14198	97.922	33.157	1990	197
BD18_1408280841_ims.csv	p11	0.63633	2.574	15.5505	1112	5
BD18_1408280841_ims.csv	p12	0.80334	27.893	10.0698	1402	56
BD18_1408280841_ims.csv	p15	0.94329	93.039	43.3731	1645	187
BD18_1408280841_ims.csv	p20	0.79701	3.557	24.7371	1391	7
BD18_1408280841_ims.csv	p21	1.06999	94.458	23.5469	1865	190
BD18_1408280841_ims.csv	p23	0.88454	28.33	21.0173	1543	57
BD18_1408280841_ims.csv	p25	1.03428	98.452	33.6961	1803	198
BD18_1408280841_ims.csv	p27	1.1224	94.458	20.5229	1956	190
BD18_1408280841_ims.csv	p28	1.09936	96.502	17.5856	1916	194
BD18_1408280841_ims.csv	p29	0.5891	3.994	20.6126	1030	8
BD18_1408280841_ims.csv	p31	0.93465	96.502	39.5785	1630	194
BD18_1408280841_ims.csv	p33	0.69104	3.994	16.4993	1207	8
BD18_1408280841_ims.csv	p34	0.75381	3.994	10.5658	1316	8
BD18_1408280841_ims.csv	p35	0.64496	31.356	180.848	1127	63
BD18_1408280841_ims.csv	p36	0.90297	28.33	12.9498	1575	57
BD18_1408280841_ims.csv	p38	0.95826	98.452	43.458	1671	198
BD18_1408280841_ims.csv	p43	0.49753	6.49	43.5286	871	13
BD18_1408280841_ims.csv	p44	1.08669	96.502	20.3946	1894	194
BD18_1408280841_ims.csv	p48	0.84653	29.313	537.481	1477	59
BD18_1408280841_ims.csv	p49	0.54821	7.473	248.307	959	15
BD18_1408280841_ims.csv	p52	0.60753	89.497	44.9828	1062	180
BD18_1408280841_ims.csv	p53	1.07863	95.004	20.9432	1880	191
BD18_1408280841_ims.csv	p54	0.76072	27.363	10.0031	1328	55
BD18_1408280841_ims.csv	p57	0.94041	99.965	42.1214	1640	201
BD18_1408280841_ims.csv	p60	1.09245	96.954	18.2306	1904	195
BD18_1408280841_ims.csv	p65	0.78549	27.363	10.4869	1371	55
BD18_1408280841_ims.csv	p67	0.92601	102.446	71.6878	1615	206
BD18_1408280841_ims.csv	p68	0.8903	116.376	18.1896	1553	234
BD18_1408280841_ims.csv	p74	0.98072	94.458	61.1662	1710	190
BD18_1408280841_ims.csv	p78	0.87763	28.33	24.6129	1531	57
BD18_1408280841_ims.csv	p79	1.06135	97.922	24.7887	1850	197
BD18_1408280841_ims.csv	p80	0.60753	106.97	46.506	1062	215
BD18_1408280841_ims.csv	p82	0.9024	98.452	15.1805	1574	198
BD18_1408280841_ims.csv	p87	0.90758	91.978	20.9921	1583	185
BD18_1408280841_ims.csv	p88	0.89434	28.33	14.6411	1560	57
BD18_1408280841_ims.csv	p89	0.89952	30.373	12.5951	1569	61
BD18_1408280841_ims.csv	p96	0.91737	28.33	27.8113	1600	57
BD18_1408280841_ims.csv	p98	0.95538	93.039	44.7097	1666	187
BD18_1408280841_ims.csv	p99	1.05789	94.458	26.3724	1844	190
BD18_1408280841_ims.csv	p100	1.0959	94.021	18.2119	1910	189
BD18_1408280841_ims.csv	p104	1.10742	94.458	17.7582	1930	190
BD18_1408280841_ims.csv	p106	0.96172	93.475	45.2232	1677	188
BD18_1408280841_ims.csv	p107	1.05329	94.021	28.3372	1836	189
BD18_1408280841_ims.csv	p109	1.01873	95.004	39.7943	1776	191
BD18_1408280841_ims.csv	p112	1.04638	94.458	29.0668	1824	190
BD18_1408280841_ims.csv	p114	1.11721	96.502	20.9907	1947	194
BD18_1408280841_ims.csv	p115	1.04004	96.502	31.0572	1813	194
